FICHE;DATE;ZONE;NUMECH;MP4;P9_PREF;MP5;MP6;MP7;MP8;MP9;MP10;MP11;MP12;MP13;MP14;MP15;MP16;MP17;MP18;M1;M2;M3;M4;M5;M6;M7_1;M8_1;M9_1;M10_1;M11_1;M12_1;M13_1;M7_2;M8_2;M9_2;M10_2;M11_2;M12_2;M13_2;M7_3;M8_3;M9_3;M10_3;M11_3;M12_3;M13_3;M7_4;M8_4;M9_4;M10_4;M11_4;M12_4;M13_4;COEM
1 ;170209;001002;118;1;1;04;02;00;00;00;02;0;00;01;01;02;2;1;026;4;4;1;3;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;100409;001002;146;4;7;02;02;00;00;00;00;1;01;00;01;02;1;7;077;4;1;1; ;2;1;1;1;1994;04;1;4;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;020409;001002;161;3;1;04;00;00;00;00;04;0;01;01;02;00;2;8;036;4;2;1;4;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;150409;001002;171;2;1;02;00;01;00;00;01;0;00;01;01;00;2;1;063;4;4;1;3;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;160409;001002;180;3;2;07;02;02;00;00;03;0;00;02;02;02;2;4;023;4;4;1;3;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;070409;001002;183;1;1;16;00;00;00;04;12;0;02;01;03;00;1;1;047;4;1;1;3;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;024.609
1 ;310309;001002;187;1;6;04;00;00;00;04;00;0;01;00;01;00;1;6;037;4;4;1;4;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;280309;001002;197;5;7;09;00;00;00;00;09;0;01;01;02;00;2;7;076;4;1;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;070409;001002;199;1;7;10;00;00;00;00;10;0;01;01;02;00;1;7;081;4;3;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;100309;001003;003;1;7;00;00;00;00;00;00;1;00;01;01;00;2;7;071;4;1;1;1;2;1;1;3;1999;05;1;1;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;141008;001003;004;1;7;02;00;00;00;00;02;0;00;01;01;00;2;7;072;4;4;2; ;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;161008;001003;005;3;1;18;00;00;00;00;18;1;01;01;02;00;2;1;051;4;4;1;1;1;1;1;1;1998;07;1;4;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;090109;001003;006;4;1;14;00;04;00;00;10;3;02;01;03;00;1;1;047;4;4;1;1;1;3;1;3;2003;12;1;1;3;1;1;2005;11;1;1;3;3;3;1998;08;1;1;3; ; ;    ;  ; ; ; ;024.609
1 ;091208;001003;007;1;7;04;00;00;00;00;04;0;01;00;01;00;1;7;073;4;1;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;131108;001003;010;3;9;04;00;00;00;00;04;0;01;00;01;00;1;9;048;4;4;2; ;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;151108;001003;012;5;1;25;04;04;00;00;17;1;02;01;03;06;1;5;018;4;4;1;3;1;1;1;3;2001;05;1;4;4; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;024.609
1 ;170409;001003;016;4;7;08;00;00;00;00;08;1;01;01;02;00;1;7;090;4;1;1;1;2;1;2;1;2001;05;1;4;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;141108;001003;020;4;7;05;01;00;00;00;04;0;00;01;01;01;2;7;081;3;5;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;201108;001003;027;3;4;02;00;00;00;02;00;0;00;01;01;00;2;4;024;4;4;1;4;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;281108;001003;035;4;7;00;00;00;00;00;00;1;01;00;01;00;1;7;082;3;5;1;3;2;1;1;2;1978;11;1;1;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;101208;001003;044;2;7;08;00;02;00;00;06;1;01;01;02;00;1;7;069;4;1;1;3;1;1;1;1;2006;07;1;1;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;181208;001003;045;3;1;15;01;03;02;00;09;1;02;01;03;01;2;1;053;4;1;1;4;1;1;1;1;1998;05;1;1;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;024.609
1 ;180409;001003;046;5;9;05;02;00;00;00;03;0;00;01;01;02;2;9;057;4;1;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;100309;001003;050;1;1;04;00;04;00;00;00;1;01;00;01;00;1;1;036;4;4;1;4;1;1;1;3;2002;07;1;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;040409;001003;051;5;1;10;00;04;00;00;06;1;01;01;02;00;2;1;033;4;4;1;4;1;1;1;3;2000;06;1;1;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;220109;001003;053;3;1;11;03;00;00;00;08;1;02;01;02;03;1;1;038;4;5;1;3;1;1;1;1;2003;04;1;3;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;024.609
1 ;180409;001003;057;5;6;24;02;00;00;00;22;1;03;03;06;02;2;1;040;4;4;1;4;1;1;1;3;1996;05;1;4;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;021.725
1 ;170209;001003;060;1;1;04;00;00;00;00;04;0;01;00;01;00;1;1;024;3;4;1;4;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;110209;001003;069;2;7;05;01;00;00;00;04;0;00;01;01;01;2;7;062;4;4;1;3;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;170409;001003;070;4;7;06;06;00;00;00;00;0;01;04;05;06;2;1;063;4;1;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;012.487
1 ;170409;001003;074;4;1;11;02;00;00;00;09;1;02;02;04;02;2;1;041;4;2;1;3;1;1;1;2;1994;10;1;4;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;025.457
1 ;210109;001003;077;2;7;04;00;00;00;02;02;1;01;01;02;00;1;7;067;4;1;1;3;2;1;1;1;1998;07;1;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;010409;001003;086;2;1;07;00;00;00;00;07;0;01;01;02;00;2;1;036;4;5;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;200109;001003;090;1;1;06;02;00;00;03;01;1;01;01;02;02;2;1;066;4;1;1;3;1;1;1;1;2004;07; ;1;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;140109;001003;093;2;7;10;02;00;00;00;08;1;01;01;02;02;2;7;064;3;1;1;1;1;1;1;1;1998;07;1;1; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;200109;001003;094;1;7;03;00;03;00;00;00;1;01;01;02;00;2;7;072;4;1;1;3;2;1;1;1;2004;07;1;1; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;210109;001003;095;2;7;05;00;00;00;00;05;1;01;00;01;00;1;7;055;4;1;1;3;1;1;1;1;1997;11;1;4;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;220109;001003;098;3;7;04;00;00;00;00;04;0;01;00;01;00;1;7;079;4;4;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;180209;001003;100;2;7;05;00;00;00;05;00;1;00;01;01;00;2;7;067;4;4;2; ;2;1;1;1;2002;07;1;3;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;170409;001003;103;4;1;06;00;00;02;00;04;1;01;02;03;00;1;1;037;5;1;1; ;1;1;1;1;1999;05;1;1;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;024.609
1 ;180209;001003;104;2;2;11;00;00;00;00;11;2;03;01;04;00;2;2;037;4;1;1;3;1;2;1;1;1988;10;1;1;3;1;1;2008;09;1;1;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;025.457
1 ;290109;001003;112;3;7;04;02;00;00;00;02;0;01;00;01;02;1;7;065;4;1;2; ;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;070209;001003;114;5;2;06;00;00;00;00;06;1;01;00;01;00;1;2;035;3;4;1;4;1;1;1;1;1995;04;1;1;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;040409;001003;122;5;7;06;00;00;00;00;06;0;01;01;02;00;2;7;070;4;1;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;120309;001003;125;3;4;02;00;00;01;00;01;0;00;01;01;00;2;4;026;4;4;1;3;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;180309;001003;129;2;1;09;02;00;00;00;07;0;00;02;02;02;2;1;043;4;4;1;3;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;100409;001003;136;4;1;04;02;00;00;00;02;1;00;01;01;02;2;1;054;4;1;1;2;2;1;1;1;1999;05;1;4;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;260309;001003;140;3;7;10;00;10;00;00;00;1;01;01;02;00;2;7;071;4;1;1;3;2;1;1;1;1994;07;1;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;190309;001003;147;3;7;04;00;00;00;00;04;0;00;01;01;00;2;7;062;4;4;1;4;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;160409;001003;151;3;7;08;00;00;00;04;04;0;01;01;02;00;1;7;070;3;4;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;040409;001003;154;5;1;06;04;00;00;00;02;1;01;02;02;04;2;6;034;4;4;1;4;1;1;1;1;1999;05;1;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;024.609
1 ;250309;001003;155;2;1;09;03;01;00;00;05;0;03;00;03;03;1;4;024;4;1;1;4;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;024.609
1 ;170409;001003;156;4;7;03;00;00;00;00;03;1;01;01;02;00;2;7;080;4;1;1;2;2;1;1;1;1993;05;1;3;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
