FICHE;ZONE;NUMECH;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15A;P15B;P16;P17A;P17B;P18A;P18B;P19;P20;P21;P22;P23;P24A;P24B;P25;COEP
2 ;001003;004;01;2;1;072;2;2;2;2;7;0;61;2;1; ;      ;  ; ; ; ;1;7;5;5;5;5;3;5;5;1;040.147
2 ;001003;005;01;2;1;051;1;1;1;3;1;0;51;3; ;2;007007;15;2; ;1;2; ;5;5;3;5;4;4;4;1;034.599
2 ;001003;005;02;1;3;022;1;1;1;4;1;0;51;3; ;2;013006;15;1;2; ;2; ;4;5;1;3;3;4;5;1;034.599
2 ;001003;006;01;1;1;047;1;1;1;2;1;0;21;3; ;1;001003;06;1;1; ;2; ;5;3;1;3;5;5;5;1;024.609
2 ;001003;006;02;2;2;047;2;2;1;2;8;0;55;3; ; ;      ;  ; ; ; ;2; ;5;5;2;2;2;4;5;1;024.609
2 ;001003;006;03;1;3;016;1;1;3;0;5;0;85;3; ;2;007009;  ; ; ; ;2; ;5;2;2;2;5;5;5;1;024.609
2 ;001003;007;01;1;1;073;2;2;1;3;7;0;22;3; ; ;      ;  ; ; ; ;2; ;5;5;5;4;3;5;5;1;040.147
2 ;001003;010;01;1;1;048;1;2;1;2;9;0;61;3; ; ;      ;  ; ; ; ;1;7;5;5;5;5;4;3;4;1;040.147
2 ;001003;012;01;1;1;053;2;1;1;5;1;0;41;3; ;2;015005;13;2; ;1;2; ;1;5;2;4;2;5;5;1;024.609
2 ;001003;012;02;1;3;018;1;1;3;0;5;0;85;2;1;2;007009;  ;3; ;1;2; ;5;5;5;2;1;5;4;1;024.609
2 ;001003;012;03;2;3;016;1;1;3;0;5;0;85;2;1;2;009001;  ; ; ; ;2; ;5;5;5;2;1;5;5;1;024.609
2 ;001003;016;01;1;1;090;1;2;1;1;7;0;61;3; ; ;      ;  ; ; ; ;2; ;5;5;3;5;3;4;4;1;034.599
2 ;001003;016;02;2;2;083;1;2;2;2;7;0;61;3; ; ;      ;  ; ; ; ;2; ;5;5;5;3;3;4;4;1;034.599
2 ;001003;020;01;2;1;081;2;2;2;2;7;0;56;2;1; ;      ;  ; ; ; ;1;7;5;5;5;4;2;5;5;1;040.147
2 ;001003;027;01;2;1;024;1;1;1;0;4;0;88;2;2;2;031006;  ;3; ;1;2; ;1;5;4;3;4;5;4;1;040.147
2 ;001003;035;01;1;1;082;1;2;1;2;7;0;48;1;1; ;      ;  ; ; ; ;2; ;5;4;5;3;3;4;4;2;040.147
2 ;001003;044;01;1;1;069;1;1;1;4;7;0;36;3; ; ;      ;  ; ; ; ;2; ;5;5;1;5;4;5;5;1;034.599
2 ;001003;044;02;2;2;065;1;1;1;5;7;0;32;3; ; ;      ;  ; ; ; ;2; ;5;5;5;4;3;4;5;1;034.599
2 ;001003;045;01;2;1;053;1;1;1;4;1;0;54;3; ;2;002003;17;2; ;1;2; ;5;5;3;5;4;5;5;1;024.609
2 ;001003;045;02;1;3;022;1;1;3;0;4;0;87;3; ;2;036001;  ;3; ;1;2; ;5;5;5;4;4;1;5;1;024.609
2 ;001003;045;03;1;3;017;1;1;2;0;5;0;85;3; ;2;002002;  ; ; ; ;2; ;5;5;5;4;4;4;5;1;024.609
2 ;001003;046;01;2;1;057;1;2;1;1;9;0;82;1;1; ;      ;  ; ; ; ;1;9;5;5;5;4;1;5;5;1;040.147
2 ;001003;050;01;1;1;036;1;1;1;3;1;0;31;3; ;2;035002;18;1;3; ;2; ;5;5;1;4;4;4;4;1;040.147
2 ;001003;051;01;2;2;033;1;1;1;5;1;0;36;3; ;2;003004;10;1;2; ;2; ;5;2;5;2;5;5;4;1;034.599
2 ;001003;051;02;1;1;033;1;1;1;5;1;0;22;3; ;2;077051;10;3; ;1;2; ;5;5;1;4;3;4;4;1;034.599
2 ;001003;053;01;1;1;038;1;1;1;3;1;0;56;1;1;2;002004;19;1;1; ;2; ;5;5;4;5;1;3;5;1;024.609
2 ;001003;053;02;2;2;036;1;1;1;3;2;0;54;1;1;2;005003;12;3; ;1;2; ;5;5;4;5;1;3;5;1;024.609
2 ;001003;053;03;1;3;003; ; ; ; ; ; ;  ; ; ; ;      ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ;024.609
2 ;001003;057;01;1;1;050;1;1;1;3;6;0;51;3; ; ;      ;  ; ; ; ;2; ;5;5;3;3;1;4;4;1;021.725
2 ;001003;057;02;2;2;040;1;1;2;3;1;0;51;3; ;2;007051;17;3; ;1;2; ;5;5;5;3;1;4;4;1;021.725
2 ;001003;057;03;1;3;020;1;1;2;0;4;0;86;2;1;2;020051;  ;3; ;1;2; ;5;5;5;3;1;4;1;1;021.725
2 ;001003;057;04;2;3;017;2;2;2;0;5;0;85;3; ;2;007009;  ; ; ; ;2; ;5;5;5;3;3;4;4;1;021.725
2 ;001003;057;05;1;3;013;2;2;2;0;5;0;84;3; ;2;001003;  ; ; ; ;2; ;5;5;5;3;1;4;4;1;021.725
2 ;001003;057;06;2;3;011;2;2;2;0;5;0;83;3; ;2;001003;  ; ; ; ;2; ;5;5;5;3;5;4;4;1;021.725
2 ;001003;060;01;1;1;024;1;1;2;6;1;0;56;2;1;2;003003;09;3; ;1;2; ;5;4;5;5;1;5;4;1;040.147
2 ;001003;069;01;2;1;062;1;1;1;5;7;0;41;3; ; ;      ;  ; ; ; ;2; ;5;5;5;4;1;4;4;1;040.147
2 ;001003;070;01;2;4;085;2;2;2;2;7;0;55;1;2; ;      ;  ; ; ; ;2; ;5;5;5;5;1;4;4;2;012.487
2 ;001003;070;02;1;1;065;2;2;1;1;7;0;61;1;2; ;      ;  ; ; ; ;1;9;5;5;5;5;1;3;5;2;012.487
2 ;001003;070;03;2;2;063;2;2;2;2;1;0;55;2;1;2;010004;07;3; ;1;2; ;5;5;5;5;1;4;5;1;012.487
2 ;001003;070;04;2;3;040;1;2;2;3;6;0;56;2;1; ;      ;  ; ; ; ;2; ;5;5;5;3;1;4;5;1;012.487
2 ;001003;070;05;2;3;036;1;2;2;5;6;0;51;2;1; ;      ;  ; ; ; ;2; ;5;5;5;3;1;4;5;1;012.487
2 ;001003;074;01;1;1;044;2;1;1;3;1;0;47;2;2;2;001002;18;2; ;2;2; ;5;2;2;5;2;5;5;1;025.457
2 ;001003;074;02;2;2;041;1;1;1;3;1;0;46;2;2;2;007005;15;2; ;1;2; ;5;5;4;2;2;3;4;1;025.457
2 ;001003;074;03;1;3;016;1;1;2;0;5;0;85;3; ;2;007009;  ; ; ; ;2; ;5;5;5;2;2;2;5;1;025.457
2 ;001003;074;04;2;3;013;2;1;2;0;5;0;84;3; ;2;006005;  ; ; ; ;2; ;5;5;5;2;4;4;5;1;025.457
2 ;001003;077;01;1;1;067;2;2;1;2;7;0;21;3; ; ;      ;  ; ; ; ;2; ;1;5;4;4;5;5;5;1;034.599
2 ;001003;077;02;2;2;066;2;2;1;3;7;0;54;3; ; ;      ;  ; ; ; ;2; ;2;5;4;4;3;3;5;2;034.599
2 ;001003;086;01;2;1;036;1;2;1;4;1;0;54;3; ;2;002003;07;3; ;1;2; ;5;5;5;4;2;4;5;1;034.599
2 ;001003;086;02;1;3;007;2;2;2;0;5;0;83;3; ;2;011001;  ; ; ; ;2; ;5;5;5;4;5;4;5;1;034.599
2 ;001003;090;01;1;1;067;2;2;1;2;1;0;22;3; ;2;001001;07;2; ;1;2; ;1;5;4;4;3;5;5;1;034.599
2 ;001003;090;02;2;2;066;1;2;1;3;1;0;22;3; ;2;001001;07;2; ;1;2; ;5;5;4;4;3;5;5;1;034.599
2 ;001003;093;01;1;1;066;1;1;1;1;7;0;61;3; ; ;      ;  ; ; ; ;1;9;5;1;4;5;4;5;5;1;034.599
2 ;001003;093;02;2;2;064;1;1;1;2;7;0;54;3; ; ;      ;  ; ; ; ;1;9;5;5;5;4;2;5;5;1;034.599
2 ;001003;094;01;2;2;072;1;2;2;1;7;0;61;3; ; ;      ;  ; ; ; ;2; ;5;5;5;2;2;5;5;1;034.599
2 ;001003;094;02;1;1;067;2;2;1;2;7;0;61;3; ; ;      ;  ; ; ; ;2; ;5;5;2;4;4;5;5;1;034.599
2 ;001003;095;01;1;1;055;1;1;1;5;7;0;31;3; ; ;      ;  ; ; ; ;2; ;3;5;3;5;5;5;5;1;040.147
2 ;001003;098;01;1;1;079;2;2;2;2;7;0;21;1;2; ;      ;  ; ; ; ;2; ;5;5;5;3;2;4;4;1;040.147
2 ;001003;100;01;2;1;067;1;2;1;2;7;0;22;3; ; ;      ;  ; ; ; ;2; ;1;5;5;5;3;5;5;1;040.147
2 ;001003;103;01;1;1;037;1;1;1;3;1;0;48;1;1;2;035051;15;2; ;3;2; ;1;5;3;5;2;3;5;1;024.609
2 ;001003;103;02;2;2;037;1;1;1;4;2;0;54;3; ;2;012003;15;2; ;3;2; ;5;5;3;3;2;3;5;1;024.609
2 ;001003;103;03;2;3;008;1;1;2;0;5;0;83;3; ;2;001003;  ; ; ; ;2; ;5;5;5;3;5;3;5;1;024.609
