id,categories,types
26,141&&69%_%_::479$142&&80%_%_::270$143&&10%_%_::758$144&&32%_%_::987$145&&50%_%_::445$146&&60%_%_::394$147&&103%_%_::148$,home::270321.43457066326$Annexe::38880.55500008201$parking::28543.1523798355$other_activity::18279.95122374813$office::46651.985000235974$free_flying::10476.065278919154$farm::952.7449999940766$shelter::909.9479295861435$hut::970.2474976634454$parking_space::17205.108513756393$leisure and sport::25923.655469752335$shop::2882.9350000389422$service::297.6037042671349$park::412.75500002432267$fire_station::630.2299999900442$restaurant::1069.999999997078$community_centre::626.1999999927298$farm_auxiliary::361.9250000002212$toilets::60.54000000086031$school::14864.957607751963$basketball;soccer::14864.957607751963$fountain::42.76000000064727$health related activity::626.8950000038674$public::375.1700000019581$kindergarten::169.50499999897323$recycling::2093.2626374374663$bicycle_parking::1796.739505720143$garage::516.1500000008266$roof::155.44999999668215$
29,148&&103%_%_::579$149&&50%_%_::1719$150&&32%_%_::3535$151&&10%_%_::2779$152&&69%_%_::1631$153&&60%_%_::1410$154&&80%_%_::994$,Annexe::270520.85000003024$home::680433.7805838109$office::51880.72000022244$other_activity::6318.967423614653$shop::14853.39937024283$restaurant::5469.725000024564$leisure and sport::23374.33279608604$public::533.0799999990197$free_flying::781.8461749328445$school::1969.675000023865$health related activity::1829.0200000193504$toilets::376.8200000050897$outside_sport::204.2755625987122$bench::314.4906944284536$roof::507.1349999957345$parking::8218.385079621772$greenhouse::537.9649999856623$roman_road::26.95499999988126$drinking_water::21182.950702424165$farm::1911.0449999938207$fire_station::197.710000000298$motorcycle_parking::1007.9077955508951$social_facility::1447.790000011658$
31,155&&60%_%_::72$156&&69%_%_::87$157&&10%_%_::146$158&&32%_%_::175$159&&50%_%_::100$160&&80%_%_::51$161&&103%_%_::39$,home::54441.535751371535$Annexe::10005.67999996479$office::8975.04500008864$fire_station::347.33499999901164$other_activity::1402.6609887698817$school::616.3049999995378$leisure and sport::195.71499999464373$parking::2952.656216679497$soccer;tennis;basketball::1018.5094176494721$farm::33.62999999725027$
32,162&&69%_%_::294$163&&103%_%_::85$164&&10%_%_::424$165&&32%_%_::638$166&&60%_%_::255$167&&50%_%_::311$168&&80%_%_::156$,home::149483.47015771858$Annexe::28943.66500008227$crematorium::297.91465220051276$farm::337.12500000371944$parking::10794.745122154081$other_activity::698.6119471798568$office::7260.955000078363$school::298.60499999133054$shop::273.2049999959231$leisure and sport::1308.3906542272975$health related activity::320.4349999997101$
33,169&&69%_%_::34$170&&32%_%_::37$,home::10474.054534968564$Annexe::1046.8900000142773$office::507.21999996840145$other_activity::510.5249999962573$parking::491.80179677993937$workship::47.40000000188593$
34,171&&60%_%_::283$172&&69%_%_::318$173&&80%_%_::179$174&&50%_%_::321$175&&32%_%_::747$176&&103%_%_::99$177&&10%_%_::533$,home::228491.7981706784$Annexe::42335.18000000541$office::32465.164999736633$other_activity::82623.15086458722$bunker::65968.2689705944$social_facility::10729.37884578991$leisure and sport::3259.8379030463916$collapsed::2697.18104294458$farm::1547.6199999731919$shop::914.1149999963027$roof::73.96499999762977$fire_station::740.4399999751616$health related activity::178.860000003709$restaurant::1493.9050000107777$parking::398.25472588038417$stable::317.6200000166963$cowshed::992.2600000086334$school::1005.9399999944281$drinking_water::1166.6348200091334$
35,178&&32%_%_::14552$179&&69%_%_::6545$180&&10%_%_::10904$181&&50%_%_::6914$182&&60%_%_::5727$183&&80%_%_::4020$184&&103%_%_::2254$,home::2613433.5437714723$office::935583.8641939813$Annexe::607449.4849997304$parking::263834.5233511388$shop::111681.05000043422$other_activity::148095.5435621543$workship::847.7099999951465$leisure and sport::247367.73201173006$carport::427.2650000024552$electrical::783.739999982717$bed::581.7649999636421$restaurant::23071.54800118784$drinking_water::1652.5114233953782$kindergarten::1023.7349999974867$outside_sport::9033.828807850186$farm::51436.64999995827$greenhouse::25099.027753821534$school::36284.32499999329$parking_entrance::15272.93000015771$public::5868.11000000379$medical_supply::978.3000000019092$weighbridge::2652.862483860185$car_parts::3403.9363001716706$health related activity::51893.4798816428$social_facility::27429.05114652708$community_centre::3586.769999993698$post_box::20088.755000004232$motorcycle::2707.294999940724$stationery::280.4349999962584$toilets::60.35000000000582$fountain::1655.410126234446$park::2015.4250000063387$recycling::181.3443240808832$sport::7777.807427605832$fabric::2318.174999996181$roof::3125.3950000076215$atm::304.1149999988812$service::1218.2250000061524$dance::324.66499999181485$nurses::20.61000000127591$lavoir::24.30000000220025$paint::816.4749999974389$water_utility::2517.524999993352$garage::225.2150000035844$riding_hall::1882.4549999996716$running::7638.397426144156$bicycle_parking::3392.413277620066$food_court::33.62232133422598$shed::57.34087042011865$shelter::104.19999999972642$funeral_directors::1138.5149999970884$fire_station::2217.80999999893$variety_store::579.7200000106892$prison::54846.836376232946$newsagent::177.25499999929335$driving_school::85.08000000145287$mini_tennis::50.43000000154017$car_wash::126.54000000311294$cinema::426.2150000023795$
38,185&&32%_%_::61$186&&60%_%_::48$,home::14937.967006837554$Annexe::1790.8049999942994$other_activity::445.5177824129613$toilets::186.87999999995694$office::1442.4750000580445$parking::1269.1464683640334$leisure and sport::618.7282892358027$
41,187&&32%_%_::83$188&&60%_%_::42$189&&80%_%_::46$190&&69%_%_::38$191&&10%_%_::75$192&&50%_%_::40$,home::45592.17789873196$drinking_water::59.91600830617078$other_activity::1680.0427192608295$office::10154.870000082783$Annexe::10017.780000056204$fire_station::68.95999999650289$farm::1001.039999997525$clock::75.98499999933178$post_box::162.4949999990943$parking::344.13958969034167$shop::215.0300000029779$
42,193&&60%_%_::174$194&&50%_%_::195$195&&103%_%_::56$196&&69%_%_::175$197&&10%_%_::293$198&&80%_%_::122$199&&32%_%_::451$,home::151059.58325314126$Annexe::19041.174999986404$office::45010.09500014396$parking::6878.066330680269$other_activity::1263.5300000003003$shop::1328.3799999906378$public::833.9200000011665$restaurant::306.4550000012666$leisure and sport::10732.551584527095$farm::3502.120000003879$
43,200&&50%_%_::85$201&&69%_%_::83$202&&10%_%_::124$203&&32%_%_::157$204&&80%_%_::61$205&&60%_%_::57$,home::43152.9476243557$Annexe::9543.139999947765$shop::644.0376925552051$office::3270.814999902943$roof::517.2450000006892$multi;handball;basketball::540.2777341099318$leisure and sport::4869.186560233775$recycling::1431.9477178620266$parking::1356.395402454465$other_activity::909.1749999986438$outside_sport::1224.3172291256915$fire_station::180.93000000599307$reception_desk::185.6649999963201$kindergarten::46.225859061417054$
47,206&&32%_%_::68$207&&69%_%_::29$208&&50%_%_::27$,Annexe::2610.389999974038$home::29839.796890555044$office::2123.210000082726$other_activity::3110.7605936763066$restaurant::484.9850000052282$parking::1323.4342241985375$cabin::46.99999999720603$leisure and sport::128.31869793474687$shop::100.97000000235391$recycling::114.09999999727006$fountain::43.875000001350415$
48,209&&50%_%_::64$210&&60%_%_::49$211&&32%_%_::131$212&&10%_%_::75$213&&69%_%_::58$214&&80%_%_::39$,Annexe::3742.4549999899154$home::33414.733537291584$office::5914.770000071174$restaurant::400.82000000989177$parking::3958.2272015311883$shop::515.6699999994843$toilets::68.93089454294473$other_activity::4109.848690977455$free_flying::7858.923475380557$community_centre::156.60000000125729$recycling::1878.4728769564404$leisure and sport::2500.654956381672$school::163.39500000489176$houseware::32.515000003532045$
50,215&&60%_%_::30$216&&32%_%_::56$217&&69%_%_::54$218&&50%_%_::27$219&&10%_%_::37$,home::32187.50399576139$office::6499.035000159453$service::432.84499999574155$Annexe::2006.3299999996368$parking::469.24021718215533$toilets::101.68500000035624$other_activity::802.2014468070093$shelter::22.40999999904074$restaurant::127.12499999408611$fountain::74.30500000251807$sport::802.0998839589688$
51,220&&50%_%_::502$221&&32%_%_::1096$222&&60%_%_::457$223&&10%_%_::758$224&&80%_%_::277$225&&69%_%_::482$226&&103%_%_::162$,home::188288.9836411905$Annexe::68043.22499998382$office::49536.26500008563$restaurant::607.6376685253438$leisure and sport::5358.167049785983$parking_entrance::2867.5500000038874$shop::2036.3549999870056$health related activity::353.5900000022049$other_activity::2731.4800000026166$parking::13267.525841938459$school::4130.9911198646$boat::1241.6650000017974$doityourself::447.86499999086607$farm::1393.8599999983655$toilets::1529.1302956122483$cinema::2006.6649999962442$roof::55.34883205987096$bench::944.2089905852563$
53,227&&32%_%_::12263$228&&50%_%_::5927$229&&69%_%_::5589$230&&80%_%_::3462$231&&103%_%_::1930$232&&60%_%_::4853$233&&10%_%_::9163$,home::1230847.3010356058$Annexe::462883.19499988336$health related activity::7255.844999992936$office::255075.5750007726$parking::53850.97065461782$other_activity::52899.45142472361$recycling::331.37000000280796$leisure and sport::41855.71942838191$toilets::407.4949999986577$construction::503.4627485726026$parking_entrance::5363.631694419892$shop::55824.76389282739$roof::1340.2853616166065$restaurant::12270.464999933183$fountain::187.04244888921383$garage::708.2499999998487$farm::8070.8449999848035$pest_control::173.86999999953667$kindergarten::222.43500000471596$bench::21543.67900085893$public::879.9949999954155$swingerclub::286.6249999979744$financial::850.3400000163261$paint::166.72500000340514$carport::320.93954024401626$post_box::24.520000000060534$social_facility::7315.004999996838$driving_school::1318.3049999955738$school::12514.253386931809$parking_space::261.0834695910478$shed::48.32500000054715$semidetached_house::482.55999999345283$sport::4613.4564800579$medical_supply::239.56499999241439$dormitory::990.3600000010897$motorcycle_parking::82.03000000300119$tattoo::118.4350000025623$trade::2645.429999973769$funeral_directors::297.27000000247034$nursery::304.8500000020722$community_centre::450.3199999976158$car_wash::22.45499999914784$doityourself::7086.319999991709$secretary::71.67999999692431$service::20.076923913626665$cinema::121.7499999998894$pet_grooming::33.96000000117114$no::1424.3571058166428$hearing_aids::253.1200000042748$
