id,categories,types
189,518&&32%_%_::2746$519&&10%_%_::2173$520&&69%_%_::1289$521&&60%_%_::1095$522&&50%_%_::1387$523&&80%_%_::810$524&&103%_%_::441$,home::906838.4098491761$Annexe::149174.0500000136$office::308072.2700002964$shop::27063.73500026131$kindergarten::808.929999996418$parking::64841.71645083099$parking_entrance::2915.8249999961236$other_activity::10616.711285902295$community_centre::901.1599999965493$warehouse::4095.495000075189$construction::8946.691162067202$social_facility::3959.690000008806$farm::17991.785000043226$frame::185.92500000550064$roof::345.1849999962701$vending_machine::4676.2749999910075$leisure and sport::89397.98021986308$medical_supply::1797.0000000108735$restaurant::4916.454999974573$toy_library::101.43499999649124$tattoo::49.854999999287536$bicycle_parking::80383.76610016858$vacant::206.9249999965832$health related activity::1353.9750000072002$farm_auxiliary::79.12499999976717$second_hand::628.2949999960034$notary::977.4199999957182$parking_space::396.27477800943774$archery::6817.128640762559$e-cigarette::1040.2549999644443$drinking_water::1526.7272500673814$pet_grooming::192.61999999781955$school::4191.165000042531$post_box::702.6200000296533$sport::1937.0749999990337$terrace::129.23999999975436$lavoir::95.60999999991967$paint::57.899999998742715$trade::2026.4599999974398$running::582.7026995250724$soccer;basketball::582.7026995250724$waste_disposal::28.115000000854494$public::404.3600000031036$doityourself::916.2900000029558$motorcycle::536.4499999162916$park::2022.48000003728$driving_school::281.96000000434924$cinema::1929.6049999941304$atm::51.885000002055904$
190,525&&32%_%_::35$526&&60%_%_::46$,home::10339.518682013371$parking::1976.8027888901304$Annexe::1270.6099999910255$office::1098.3849999288948$other_activity::170.8650000029674$shop::93.90000000107685$leisure and sport::40.390000001122246$public::40.390000001122246$farm::128.06499999629682$
191,527&&32%_%_::221$528&&50%_%_::90$529&&10%_%_::153$530&&60%_%_::69$531&&69%_%_::87$532&&103%_%_::35$533&&80%_%_::68$,home::121337.01947611009$Annexe::28544.484999963697$office::25353.23000007977$other_activity::2418.005132133054$barracks::318.4800000066624$shop::845.0649999962677$leisure and sport::14186.968287953008$bunker::743.9009717618117$fire_station::1504.394999993041$school::663.045000003233$parking::27507.174599377453$ticket::232.71499999836902$community_centre::232.02999999978812$restaurant;bar::320.77499999966824$drinking_water::38.674999999906866$soccer;basketball;handball::1217.2198638407529$sport::6782.785000000002$shelter::107.86689960499112$health related activity::487.3599999973702$farm::408.85000000032596$restaurant::221.67000000209197$roof::152.38499998268438$waste_basket::29.92500000045984$
196,534&&60%_%_::42$535&&50%_%_::60$536&&32%_%_::93$537&&69%_%_::54$538&&10%_%_::76$539&&80%_%_::52$,home::41118.662026830985$Annexe::6698.125000006787$office::6919.494999844862$parking::576.410950115022$school::148.5299999958242$other_activity::1464.9114401164056$recycling::4653.49982465334$farm::1181.880000000766$toilets::21.45499999988708$workship::385.6799999912781$shelter::21.13621217350845$hut::21.13621217350845$leisure and sport::270.0773141399186$
200,540&&50%_%_::484$541&&69%_%_::488$542&&32%_%_::988$543&&10%_%_::853$544&&80%_%_::274$545&&60%_%_::375$546&&103%_%_::175$,home::333311.067207068$Annexe::70002.1999999044$office::45122.8099998986$bunker::8057.933673417576$school::226.01000000204425$university::1674.0800000253412$parking::10484.178444403244$farm::2447.034999959541$other_activity::13875.428218425022$recycling::2675.658887172367$leisure and sport::19321.562847047986$hangar::205.5100000027427$shop::1466.6840155734349$restaurant::1565.7750000070314$service::172.76500000151805$toilets::80.13000000123168$atm::306.7250000006054$social_facility::3659.7450000108406$free_flying::896.5403833681387$health related activity::25.555000001767183$fire_station::548.9899999951268$bridge::64.97499999863794$
203,547&&10%_%_::213$548&&60%_%_::105$549&&32%_%_::255$550&&50%_%_::125$551&&69%_%_::124$552&&80%_%_::84$553&&103%_%_::47$,home::53017.75661991609$office::2715.2199999981394$Annexe::10426.570000011538$other_activity::2234.1863780491512$social_facility::2018.5499999851802$leisure and sport::1310.511117966265$parking::93.50602675089482$farm::282.8550000086531$
230,554&&80%_%_::35$555&&69%_%_::62$556&&103%_%_::28$557&&50%_%_::99$558&&60%_%_::86$559&&32%_%_::168$560&&10%_%_::158$,home::94147.07252771854$Annexe::17200.66999996779$bunker::603.1605038710778$other_activity::10281.724466222007$office::5420.739999967395$farm::577.9349999946403$restaurant::666.2199999923596$community_centre::79.65999999945402$barn::198.06878259804793$clock::491.8400000043935$shop::363.97500000771254$parking_space::196.1309081877246$cowshed::862.4600000195823$leisure and sport::1996.217990723065$blockhaus::41.519999996847474$school::476.7799999998406$cabin::40.38000000266358$shelter::80.38146322142171$recycling::655.5825524779988$barometer::64.54500000060769$parking::3422.669887136885$
240,561&&10%_%_::52$562&&32%_%_::70$563&&69%_%_::44$,home::20565.732884700523$office::372.00499996418836$Annexe::2138.2300000229666$other_activity::457.359999993575$farm::361.63500000495463$post_box::41.8499999995518$
241,564&&32%_%_::80$565&&10%_%_::46$566&&80%_%_::81$567&&50%_%_::39$,home::29222.94690182191$Annexe::2456.8600000002975$shelter::60.58499999891268$office::1923.2849999583825$other_activity::333.09706070083314$farm::371.17499999393476$leisure and sport::266.81189034898154$
250,568&&60%_%_::1155$569&&80%_%_::814$570&&103%_%_::377$571&&50%_%_::1331$572&&69%_%_::1397$573&&32%_%_::2940$574&&10%_%_::2219$,home::547881.0033054943$Annexe::87501.93999995379$office::254154.7900005593$other_activity::18544.618114708595$parking::19698.643236044143$shop::25070.984999530552$farm::10325.975000061286$restaurant::18721.824999761062$mall::18721.824999761062$leisure and sport::24606.605783067585$shed::87.54929440360283$sport::4719.589999755346$health related activity::556.2499999953725$recycling::181.1409633580239$garage::600.4699999769812$building:part::685.9100000027951$warehouse::3287.1649999940964$social_facility::410.8999999915948$
252,575&&32%_%_::40$576&&10%_%_::30$577&&60%_%_::35$,home::8634.916863862238$parking::813.0427312678811$Annexe::776.6349999972596$recycling::128.51000000218394$other_activity::423.21091438566384$office::160.81999999274382$
253,578&&69%_%_::139$579&&80%_%_::69$580&&10%_%_::214$581&&32%_%_::310$582&&60%_%_::99$583&&50%_%_::111$584&&103%_%_::30$,home::102465.9423799756$Annexe::12762.099999974258$other_activity::3108.611883466847$office::41877.04500022378$shop::1818.9349999281787$leisure and sport::28.734999999192077$farm::3505.499999990663$post_box::193.00500000542263$toilets::27.990000000703148$restaurant::91.67000000345986$school::211.7499999968801$parking::217.33313337788542$supermarket::51.7249999968335$
255,585&&69%_%_::114$586&&32%_%_::251$587&&60%_%_::107$588&&50%_%_::119$589&&10%_%_::200$590&&80%_%_::64$591&&103%_%_::41$,home::60952.28977026734$Annexe::10602.91499996592$office::3740.189999764834$other_activity::4261.151540964579$parking::1023.6490605882143$social_facility::947.2899999984272$
258,592&&50%_%_::117$593&&32%_%_::246$594&&10%_%_::188$595&&60%_%_::107$596&&69%_%_::123$597&&103%_%_::41$598&&80%_%_::67$,home::76356.2303445328$Annexe::11942.579999959698$office::25195.759999984857$farm::6549.250000016549$shop::1503.1499999925554$other_activity::4850.905000002069$
259,599&&32%_%_::52$600&&10%_%_::38$601&&69%_%_::57$,home::20862.657250396107$Annexe::1614.7549999880307$office::5694.115000041819$other_activity::384.2781769249748$leisure and sport::2326.1118867172204$restaurant::121.88999999925377$drinking_water::20.244999999199063$parking::326.24663220875925$
261,602&&32%_%_::407$603&&10%_%_::320$604&&80%_%_::142$605&&69%_%_::210$606&&60%_%_::167$607&&50%_%_::195$608&&103%_%_::73$,home::258850.169713452$office::20686.830000039383$Annexe::75062.66999996644$leisure and sport::3105.350450574172$restaurant::1465.0350000014917$sport::372.7710029538386$drinking_water::1014.9661073909374$parking::8386.129768230381$shop::1929.1849999896401$sailing::20.31000000117696$other_activity::675.9000000074506$toilets::149.87500000526194$school::343.4500000041444$health related activity::132.9100000023353$
264,609&&32%_%_::50$610&&60%_%_::38$611&&80%_%_::27$,home::10825.375481911751$Annexe::1297.600000009505$greenhouse::1144.4003384521682$office::505.64500000241793$other_activity::435.2756042056712$restaurant::69.42499999981374$parking::3724.1601254266625$lavoir::41.2600000005425$roof::41.2600000005425$farm::111.34999999823049$
269,612&&50%_%_::395$613&&60%_%_::275$614&&32%_%_::761$615&&10%_%_::493$616&&69%_%_::293$617&&80%_%_::189$618&&103%_%_::122$,parking::29978.509477257456$home::329911.554668734$office::34523.49500018639$Annexe::62716.785000021046$farm::11985.65999995931$other_activity::932.4199999904795$leisure and sport::5336.1013892871315$shop::1863.0249999945052$restaurant::3388.4696684204896$atm::220.57499999966242$construction::1915.6449604720567$toilets::155.9649999984796$vending_machine::155.33499999951806$school::1854.2600000059442$fire_station::250.58500000029804$
272,619&&32%_%_::289$620&&69%_%_::128$621&&60%_%_::126$622&&80%_%_::88$623&&103%_%_::38$624&&10%_%_::203$625&&50%_%_::131$,home::117398.33311908299$Annexe::29669.935000076235$office::23243.005000001853$parking::16441.549028570465$restaurant::2770.7249999590044$ticket::283.29500000093947$toilets::212.6099999972596$sport::2181.408969068798$skiing::1503.8399999872804$shop::1512.5400000254588$leisure and sport::6014.321524787232$other_activity::1205.0821358289115$cinema::841.8900000038115$atm::511.2100000012527$roof::37.785000002533195$
275,626&&32%_%_::360$627&&10%_%_::287$628&&50%_%_::176$629&&69%_%_::198$630&&60%_%_::169$631&&80%_%_::93$632&&103%_%_::61$,home::153555.08403676876$restaurant::69.01999999966472$Annexe::28638.995000012837$office::6449.085000010811$other_activity::3398.036504015534$leisure and sport::2085.560897446651$parking::756.8129022576377$atm::181.309999995525$shop::97.94499999922817$
276,633&&32%_%_::392$634&&10%_%_::288$635&&69%_%_::170$636&&80%_%_::105$637&&103%_%_::59$638&&60%_%_::137$639&&50%_%_::167$,home::129792.82450257131$Annexe::24522.130000038393$office::11210.634999866852$barn::798.2568731191792$parking::3559.7732152392277$other_activity::31424.405813900285$fire_station::530.7449999983492$sport::347.5435721210739$restaurant::74.14499999700463$bunker::27674.007206922724$social_facility::1490.9300000061094$farm::126.07499999300926$leisure and sport::802.8132838965666$shop::365.40999999085676$
277,640&&80%_%_::294$641&&60%_%_::440$642&&50%_%_::488$643&&32%_%_::1074$644&&10%_%_::893$645&&103%_%_::153$646&&69%_%_::509$,home::399291.5747029211$Annexe::64392.015000006846$office::30683.074999746237$farm_auxiliary::1489.087594740092$other_activity::8227.219677509042$service::230.56000000489644$parking::5895.090076663702$farm::1018.0349999930046$leisure and sport::92170.7261690072$bowls::351.59135624016795$toilets::68.11999999681838$shop::733.6799999925762$drinking_water::95.62999999637715$restaurant::54.72500000142609$parking_space::25.279790403919996$roof::41.05499999881023$school::1038.5250000030385$community_centre::387.10999999537364$recycling::2179.40266787725$
281,647&&32%_%_::88$648&&10%_%_::79$649&&69%_%_::39$650&&80%_%_::51$651&&60%_%_::39$652&&50%_%_::38$,home::34187.22891391801$office::1654.830000018368$Annexe::5588.959999983033$farm_auxiliary::28.240000002193266$leisure and sport::1694.6814378957592$parking::198.22862792011432$other_activity::1935.5682198601862$farm::190.6699999936286$school::81.36000000262632$shop::162.3100000030571$architect::107.50999999344117$
285,653&&69%_%_::39$654&&32%_%_::58$655&&50%_%_::27$,home::14624.23619583352$Annexe::2332.7800000201837$office::331.42999999988126$other_activity::274.4630784240545$farm::123.84000000644825$leisure and sport::1484.4706773073133$
286,656&&32%_%_::42$,home::6254.910003700992$Annexe::443.2150000056916$office::931.0500000553845$other_activity::263.55000000134464$restaurant::99.85500000039929$farm::517.1849999840988$
287,657&&32%_%_::159$658&&50%_%_::68$659&&60%_%_::50$660&&80%_%_::67$661&&69%_%_::83$662&&10%_%_::135$,home::85403.37555611982$Annexe::13595.280000005849$other_activity::3399.760520317416$office::12123.00000014507$shed::674.2499999881256$restaurant::921.0900000054994$toilets::245.6249999980384$service::55.46500000347383$parking::17745.478415104444$farm::3070.415000039923$leisure and sport::6202.8011143468375$recycling::1810.4544854419235$bowls::149.34500000006636$school::318.6200000001711$
295,663&&80%_%_::323$664&&32%_%_::1131$665&&50%_%_::546$666&&10%_%_::806$667&&69%_%_::509$668&&60%_%_::494$669&&103%_%_::180$,Annexe::54713.944999895306$home::320305.37691140844$office::21539.5949998379$driving_school::371.9749999833817$farm::1068.719999998553$greenhouse::959.0599999993376$parking::13046.485443459016$restaurant::2803.189999987053$bicycle_parking::621.3508259958871$shop::1239.14000000912$community_centre::88.69500000231318$leisure and sport::2607.475370592265$health related activity::1349.700792260627$parking_space::21.81999807227347$parking_entrance::2875.1100000032548$other_activity::2585.6864127270937$sport::390.3199999938556$energy::83.10000000346918$school::648.8350000127778$public::305.5099999991222$service::20.188999819353242$tomb::37.7100000021141$
302,670&&80%_%_::42$671&&10%_%_::93$672&&32%_%_::104$673&&60%_%_::39$674&&69%_%_::48$675&&50%_%_::57$,home::25507.939221237793$Annexe::2797.0999999848073$office::2293.899999995681$parking::1827.2162312531614$bunker::485.4636794175809$other_activity::1070.3831137266045$
315,676&&50%_%_::26$677&&32%_%_::52$678&&10%_%_::38$679&&69%_%_::64$,home::19871.63634404368$other_activity::1001.2479771156311$office::252.64000001091858$parking::1079.3280477249843$farm::500.5299999932223$shop::324.2028614630271$Annexe::1057.3699999896064$lavoir::41.90999999991385$leisure and sport::556.1213702181814$
319,680&&50%_%_::52$681&&32%_%_::65$,home::27317.7987671534$office::3503.7949999232032$Annexe::4397.855000009095$parking::1816.9199863499884$other_activity::1132.0921668265332$shelter::26.66999999784864$shop::40.300000001705484$farm::260.34000000510946$bunker::115.13000000254715$
324,682&&32%_%_::69$,home::9226.784867880517$Annexe::922.8149999965706$farm::677.4899999859533$other_activity::170.28999999634922$office::469.2500000044296$parking::107.29078867428927$
329,683&&50%_%_::35$684&&32%_%_::45$685&&10%_%_::38$686&&80%_%_::36$,home::10750.842160999711$other_activity::1234.695756240052$Annexe::2538.1449999965266$office::1551.8099999716887$farm::538.3200000118709$shelter::86.84567955269515$parking::184.874999992433$
336,687&&32%_%_::267$688&&50%_%_::129$689&&10%_%_::193$690&&69%_%_::92$691&&60%_%_::110$692&&80%_%_::49$693&&103%_%_::29$,home::149312.0556385128$Annexe::19418.15000001903$parking::822.790039887075$office::2112.369999985398$fountain::67.3699999986519$other_activity::4778.479519471462$leisure and sport::1959.2525275258804$toilets::417.694999998227$service::110.41618277252061$cabin::41.18500000333646$collapsed::139.24280903602016$
337,694&&32%_%_::477$695&&10%_%_::421$696&&60%_%_::194$697&&103%_%_::83$698&&69%_%_::212$699&&50%_%_::232$700&&80%_%_::149$,home::150554.8977285172$Annexe::35365.86999997256$other_activity::33503.30965167137$office::29117.455000025246$farm::2403.890000033078$social_facility::12446.923523928985$leisure and sport::6226.674454896609$public::82.2399999978859$community_centre::1152.6078044364333$ui::308.6550000038568$parking::3594.4850740008906$public_bath::2130.224999967311$school::4338.279999986564$restaurant::229.64500000318628$shop::2584.3800000285078$bunker::28097.477206912627$barn::42.05106302689797$cowshed::376.6400000086194$lavoir::63.0200000004447$construction::819.7500000671657$newsagent::180.2150000015879$fire_station::59.47000000191736$service::57.15999999906984$
339,701&&10%_%_::63$702&&80%_%_::29$703&&50%_%_::36$704&&32%_%_::77$705&&69%_%_::73$,home::25065.228099085256$Annexe::3810.800000005349$other_activity::698.3550000013656$office::1601.6699998869456$service::34.44000000079628$farm::215.9049999954342$parking::2696.830587735979$leisure and sport::181.90999999866239$
341,706&&60%_%_::521$707&&10%_%_::1085$708&&32%_%_::1339$709&&103%_%_::186$710&&50%_%_::677$711&&69%_%_::625$712&&80%_%_::363$,home::265743.2478721223$Annexe::42452.11000006508$farm::800.0549999847938$office::22438.53499987511$leisure and sport::2673.5977094710765$parking::11567.111602872843$social_facility::1889.9550000055274$other_activity::613.3449999993795$toilets::683.6249999963679$shop::528.5450000544323$community_centre::435.3099999969045$health related activity::183.12500000002328$restaurant::250.73499999946566$school::2232.6295201056228$
344,713&&50%_%_::903$714&&80%_%_::511$715&&69%_%_::845$716&&10%_%_::1361$717&&60%_%_::758$718&&32%_%_::1879$719&&103%_%_::317$,home::607432.4935034096$Annexe::61769.63999996321$parking::42457.47531938614$office::53698.34500024067$farm::101365.93500008737$other_activity::1112.3900000062679$greenhouse::13750.427028857273$leisure and sport::24404.253543985058$sport::10509.262445371194$school::3817.249999985332$drinking_water::176.74760772078545$shelter::345.8300000032748$recycling::1027.6829750225284$social_facility::205.2300000003935$shop::4226.20500009845$kindergarten::1963.470000018629$cinema::483.0800000013015$health related activity::289.0399999973737$post_box::708.1687624921021$service::377.6349999878707$restaurant::295.344999996213$
347,720&&50%_%_::453$721&&32%_%_::902$722&&10%_%_::606$723&&80%_%_::214$724&&103%_%_::130$725&&69%_%_::411$726&&60%_%_::392$,home::208539.2508549305$toilets::263.92129087980527$Annexe::33111.609999993285$parking::8783.541959987495$office::12339.344999966337$farm::8803.044999993004$fire_station::569.2749999620079$other_activity::2095.345000003675$restaurant::515.8050000025762$greenhouse::14287.162471785401$school::193.48500000736442$leisure and sport::572.2326517949748$shop::206.66000000312692$
357,727&&60%_%_::72$728&&69%_%_::65$729&&32%_%_::204$730&&10%_%_::180$731&&50%_%_::105$732&&80%_%_::75$,home::43536.38025554499$Annexe::8635.859999988725$service::25.63526732983395$office::5652.455000010977$parking::1025.8677702209009$other_activity::685.4350000009325$traffic_park::585.7692813461026$leisure and sport::2933.456275420474$social_facility::523.0100000014331$
361,733&&32%_%_::51$734&&50%_%_::29$735&&69%_%_::32$,parking::1292.9228701025586$home::32366.17077064339$Annexe::5436.969999993257$office::2277.404999988816$farm::366.61499999768796$other_activity::532.1099999873177$leisure and sport::1553.2459507523895$shelter::35.45000000073923$shop::129.46499999808964$restaurant::509.7799999966449$
362,736&&69%_%_::217$737&&80%_%_::168$738&&32%_%_::517$739&&50%_%_::241$740&&10%_%_::324$741&&103%_%_::103$742&&60%_%_::197$,home::285386.09219775815$office::18896.789999921995$Annexe::76536.5250001599$greenhouse::3560.6583176391855$farm::5406.854999978531$fire_station::356.094999988419$restaurant::8405.511854546061$park::225.18000000321075$leisure and sport::15947.488560922968$other_activity::6755.586044350441$parking::2034.486120472155$outside_sport::263.308494883551$cinema::62.30000000195578$roof::5293.669834415165$fountain;waste_basket::4998.645716021558$bench::290.79000000934116$health related activity::1042.8150000047544$lighthouse::59.98346636483151$shop::1546.8149999943237$shed::27.8875496540567$clock::262.71999999838414$barracks::204.0350000002049$construction::181.40500000310595$school::539.3449999937741$waste_basket::1463.4974583467726$
363,743&&50%_%_::166$744&&60%_%_::178$745&&32%_%_::314$746&&10%_%_::276$747&&69%_%_::163$748&&80%_%_::120$749&&103%_%_::73$,home::120671.24787061661$Annexe::22780.259999965503$office::4395.894999925339$other_activity::553.8600000020908$school::222.73499999276595$parking::1073.615883420536$
367,750&&10%_%_::577$751&&69%_%_::382$752&&80%_%_::209$753&&32%_%_::734$754&&50%_%_::382$755&&103%_%_::115$756&&60%_%_::338$,home::166245.7154957717$Annexe::33424.03999998503$office::42211.929497206074$parking::11848.932615556874$other_activity::4631.090439598112$farm::17779.705000001868$leisure and sport::9307.630600531662$shop::599.9750000023225$baseball::1155.2160735019527$kindergarten::201.14500000143425$health related activity::2461.655000022617$public::1061.21905717442$school::1085.1600000109909$
371,757&&60%_%_::458$758&&10%_%_::925$759&&50%_%_::593$760&&69%_%_::563$761&&80%_%_::373$762&&32%_%_::1231$763&&103%_%_::174$,home::292995.48346933257$office::104708.48000008371$Annexe::37814.45500001632$farm::17331.285000034415$shop::87.15999999705004$leisure and sport::9870.342661403929$parking::6469.398706882977$sport::680.447287354505$car_parts::144.9949999920628$other_activity::765.8969312781195$social_facility::1720.845000008297$
372,764&&32%_%_::140$765&&10%_%_::126$766&&60%_%_::60$767&&80%_%_::48$768&&69%_%_::60$769&&50%_%_::79$,home::78756.51181676626$Annexe::14419.079999997588$office::11956.635000105143$other_activity::1157.3453584995416$leisure and sport::3028.474016974202$parking::16498.651177074662$shelter::408.1129493611793$restaurant::857.8800000024132$farm::87.47999999915947$barn::813.2964352675245$shop::102.3099999999313$community_centre::159.6350000054494$
387,770&&32%_%_::143$771&&50%_%_::74$772&&10%_%_::121$773&&69%_%_::76$774&&60%_%_::48$775&&80%_%_::48$,home::50894.55967641113$other_activity::1924.3505238952357$Annexe::5758.070000017814$sport::546.400346672859$office::4411.774999981962$shop::336.61999999530497$leisure and sport::2577.536749997436$parking::1443.5427044191013$watermill::151.690000006489$hangar::358.315000013829$school::596.8600000049605$restaurant::28.37000000028755$farm::182.3699999997637$toilets::31.769999998908023$
388,776&&60%_%_::180$777&&32%_%_::399$778&&10%_%_::286$779&&80%_%_::112$780&&69%_%_::186$781&&50%_%_::194$782&&103%_%_::49$,home::215288.42150575653$Annexe::12719.845000030382$office::322888.2599994956$parking::13631.691843257031$toilets::714.9149999950628$other_activity::843.5827260805902$leisure and sport::1528.3857470630453$shop::392.69744296764844$farm::6009.07000002083$warehouse::6697.050000048965$restaurant::32.974999999511056$community_centre::54.64500000025844$
391,783&&10%_%_::169$784&&103%_%_::30$785&&80%_%_::58$786&&50%_%_::104$787&&32%_%_::248$788&&60%_%_::98$789&&69%_%_::89$,other_activity::6605.318288015822$Annexe::15262.994999998671$home::82060.79988819655$office::11230.329999683197$shelter::52.38999999828171$hut::690.264999993631$semidetached_house::432.97999999846684$restaurant::763.2399999905575$barn::209.65502093483255$parking::1850.290660168725$waste_basket::147.3400000033982$shop::202.19499999810475$community_centre::146.7100000009907$wayside_cross::2239.039265862573$cabin::72.45999999592081$service::52.236440837546866$post_box::99.36499999171006$
398,790&&32%_%_::2338$791&&10%_%_::1700$792&&69%_%_::999$793&&80%_%_::624$794&&60%_%_::902$795&&103%_%_::368$796&&50%_%_::1074$,home::622845.851572822$Annexe::125347.14500018378$leisure and sport::19270.541278431032$office::48587.53500006169$other_activity::10534.12341851094$parking::17814.820316673904$shop::3214.4249999809194$health related activity::715.475000008283$sport::8360.898048287563$farm::3825.5250000053898$school::22607.390531004974$service::287.8799999989325$recycling::2222.446298942021$restaurant::417.4699999947287$park::86.21999999570079$doityourself::907.7629646972937$vacant::676.4549999959697$hearing_aids::27.255000000783475$
401,797&&32%_%_::74$798&&80%_%_::42$,home::16408.61570084306$Annexe::1835.7149999856217$office::1971.4150000935213$restaurant::213.83000000392087$other_activity::192.67500000047733$waste_basket::161.6149999951734$parking::120.40083191108005$farm::603.0950000160385$bench::570.300801429359$leisure and sport::462.9656645979908$community_centre::88.34000000771718$
403,799&&69%_%_::44$800&&32%_%_::79$,home::24843.290635344896$Annexe::2795.8049999904506$bunker::12394.461184206659$parking::6037.771176598198$other_activity::15598.318526236388$shop::51.55499999628402$office::1145.9049999224883$post_box::145.67500000190918$restaurant::260.2450000001653$shelter::660.6408774731746$leisure and sport::928.957425220116$casemate::11890.492837025624$
405,801&&32%_%_::65$802&&69%_%_::38$,home::10097.553341354307$leisure and sport::3263.183016026683$Annexe::1449.0099999953445$recycling::130.89798030126806$office::870.4749999936321$other_activity::9840.067855350695$parking::855.5699019984835$sport::621.6159978983604$fountain::25.404999999706632$shop::198.3899999976822$
406,803&&60%_%_::66$804&&32%_%_::156$805&&80%_%_::59$806&&103%_%_::29$807&&69%_%_::67$808&&10%_%_::149$809&&50%_%_::71$,home::65692.52793193677$Annexe::11475.944999972284$office::11535.995000060933$parking::12215.170786666089$other_activity::1949.434292977245$farm::435.6850000025856$school::626.5399999945331$restaurant::844.8000000002329$leisure and sport::3462.6327817787205$shop::462.3300000002596$waste_disposal::57.31499999744352$service::91.84000000091852$drinking_water::202.353379876926$storage_tank::98.46837987272224$post_box::52.17999999804771$
418,810&&32%_%_::929$811&&10%_%_::583$812&&60%_%_::353$813&&69%_%_::432$814&&103%_%_::143$815&&80%_%_::247$816&&50%_%_::468$,home::372572.3028381348$office::32794.28000009391$Annexe::75035.8149999313$farm::25356.434999992365$greenhouse::19317.076705520656$leisure and sport::26153.887150998442$parking::9647.10327309415$other_activity::1857.3299999971048$shop::8219.183777676053$restaurant::1452.534999986177$cinema::868.5099999963516$carport::32.10999999872642$kindergarten::352.3750000005297$toilets::452.7150000045565$doityourself::427.5500000432134$recycling::453.93939910159$social_facility::541.1699999902061$health related activity::302.16000000916887$lavoir::24.365000000796282$notary::387.44000000386967$school::152.93500000323752$fountain::34.335000001107105$
428,817&&103%_%_::216$818&&60%_%_::623$819&&10%_%_::1159$820&&50%_%_::777$821&&80%_%_::419$822&&32%_%_::1499$823&&69%_%_::688$,home::495038.00005887495$Annexe::55282.500000020904$farm::179434.40000019677$office::64205.14999982922$parking::27016.608847493433$other_activity::7746.744258570845$leisure and sport::14105.269140650955$restaurant::2103.064999999591$camping::493.14999999515715$padel::448.833021684992$shop::8156.648204547749$park::193.26000000251574$school::5146.958125419963$health related activity::111.40000000037253$shower::78.24999999720603$recycling::713.0715450081705$toilets::27.8600000011304$
437,824&&69%_%_::993$825&&80%_%_::635$826&&60%_%_::817$827&&50%_%_::1007$828&&32%_%_::2217$829&&10%_%_::1619$830&&103%_%_::312$,home::461426.87117385067$shop::11084.440500688399$Annexe::66116.68500003581$office::139984.4299992534$social_facility::5392.204999980195$parking::21990.269911143558$farm::17460.335000038132$other_activity::3077.6968210371533$restaurant::137.8000000055181$school::5214.040000005657$car_wash::120.44000000221655$leisure and sport::17683.832754542553$bicycle_parking::3369.0817725761285$health related activity::15831.163351876718$greenhouse::1620.7050000068198$recycling::2249.82830591225$post_box::1481.1803595838583$sport::450.39920256014926$
440,831&&69%_%_::286$832&&10%_%_::458$833&&32%_%_::605$834&&80%_%_::174$835&&50%_%_::288$836&&103%_%_::99$837&&60%_%_::247$,home::255597.75739595812$Annexe::47085.620000041745$office::52506.854999320836$other_activity::234808.7083374332$service::5979.219031044915$bunker::47757.367165982985$workship::820.5600000031968$shed::38.414999999993015$school::1758.8100000091222$collapsed::1716.637292132962$leisure and sport::10597.246535662962$farm::1416.5949999749614$reception_desk::271.00000000052387$shop::1306.7599999981326$parking::5863.280958833735$restaurant::2785.844999991084$lavoir::48.8300000023027$fire_station::978.0250000025494$leisure::228.60499999671475$cabin::76.16000000411645$social_facility::6490.530000053631$cinema::733.2949999973015$barrak::1302.2630492506364$barracks::134.6300000037346$parking_space::892.9442454123053$transformer_tower::20.842237644303488$guide::66.02000000088708$battery::8612.649611663697$roof::93.46500001333422$drinking_water::1116.796834671894$sport::342.14577747087634$
462,838&&69%_%_::178$839&&32%_%_::349$840&&60%_%_::152$841&&80%_%_::111$842&&50%_%_::177$843&&103%_%_::57$844&&10%_%_::272$,home::243005.02674331635$office::39867.05635481277$shop::3269.4249999716235$Annexe::58712.979999933916$community_centre::883.3000000131198$leisure and sport::12193.658542883417$parking::48840.95519407098$other_activity::10067.940249823387$farm::336.1149999966344$barn::651.5941717556582$sport::900.3100000139477$drinking_water::7275.039991426658$school::5876.308821626662$restaurant::2526.289999989888$toilets::882.4850000059672$fountain::92.16999999897205$health related activity::358.38000000069616$workship::2244.975000004307$bicycle_parking::508.804485229462$hut::22.258991819272506$cinema::629.2700000027089$ice_skating::626.9212534702394$social_facility::272.5500000023225$shed::73.24500000193481$roof::119.3150000087591$newsagent::143.59999999653664$shelter::107.62714492643491$fire_station::447.88999999719323$climbing::115.81967259598953$lavoir::22.944914026082643$post_box::84.66000000018744$
468,845&&69%_%_::28$846&&10%_%_::29$847&&60%_%_::48$848&&32%_%_::47$,home::31316.443990805274$Annexe::4690.534999977905$other_activity::8820.966083612435$office::1200.8099999906822$bunker::8446.90821692068$parking::968.2411672713654$farm::515.3800000005099$cowshed::534.0400000174553$cabin::39.22999999757041$barn::79.17999999667984$
