reporting country,secondary country,time,value
AFG,EGY,2014,2134
AFG,EGY,2015,2980
AFG,EGY,2016,1626
AFG,ERI,2011,1
AFG,ERI,2012,0
AFG,ERI,2013,1
AFG,ERI,2014,2
AFG,ERI,2015,128
AFG,ERI,2016,535
AFG,ESP,2011,909
AFG,ESP,2012,1117
AFG,ESP,2013,1432
AFG,ESP,2014,1362
AFG,ESP,2015,1227
AFG,ESP,2016,800
AFG,EST,2011,163
AFG,EST,2012,141
AFG,EST,2013,191
AFG,EST,2014,220
AFG,EST,2015,206
AFG,EST,2016,172
AFG,ETH,2011,130
AFG,ETH,2012,150
AFG,ETH,2013,156
AFG,ETH,2014,291
AFG,ETH,2015,287
AFG,ETH,2016,155
AFG,FIN,2011,510
AFG,FIN,2012,839
AFG,FIN,2013,1019
AFG,FIN,2014,1057
AFG,FIN,2015,1121
AFG,FIN,2016,882
AFG,FJI,2011,42
AFG,FJI,2012,88
AFG,FJI,2013,92
AFG,FJI,2014,54
AFG,FJI,2015,46
AFG,FJI,2016,51
AFG,FRA,2011,3392
AFG,FRA,2012,4872
AFG,FRA,2013,5262
AFG,FRA,2014,4906
AFG,FRA,2015,5494
AFG,FRA,2016,4883
AFG,FSM,2011,0
AFG,FSM,2012,0
AFG,FSM,2013,0
AFG,FSM,2014,0
AFG,FSM,2015,0
AFG,FSM,2016,0
AFG,GAB,2011,0
AFG,GAB,2012,0
AFG,GAB,2013,0
AFG,GAB,2014,0
AFG,GAB,2015,0
AFG,GAB,2016,2
AFG,GBR,2011,19880
AFG,GBR,2012,30745
AFG,GBR,2013,33453
AFG,GBR,2014,34443
AFG,GBR,2015,38056
AFG,GBR,2016,38078
AFG,GEO,2011,142
AFG,GEO,2012,250
AFG,GEO,2013,263
AFG,GEO,2014,339
AFG,GEO,2015,465
AFG,GEO,2016,447
AFG,GHA,2011,31
AFG,GHA,2012,35
AFG,GHA,2013,50
AFG,GHA,2014,79
AFG,GHA,2015,64
AFG,GHA,2016,73
AFG,GIB,2011,0
AFG,GIB,2012,4
AFG,GIB,2013,14
AFG,GIB,2014,0
AFG,GIB,2015,0
AFG,GIB,2016,2
AFG,GIN,2011,4
AFG,GIN,2012,0
AFG,GIN,2013,3
AFG,GIN,2014,2
AFG,GIN,2015,1
AFG,GIN,2016,6
AFG,GMB,2011,2
AFG,GMB,2012,1
AFG,GMB,2013,13
AFG,GMB,2014,4
AFG,GMB,2015,2
AFG,GMB,2016,5
AFG,GNB,2011,0
AFG,GNB,2012,0
AFG,GNB,2013,0
AFG,GNB,2014,6
AFG,GNB,2015,2
AFG,GNB,2016,2
AFG,GNQ,2011,1
AFG,GNQ,2012,0
AFG,GNQ,2013,1
AFG,GNQ,2014,0
AFG,GNQ,2015,0
AFG,GNQ,2016,0
AFG,GRC,2011,455
AFG,GRC,2012,610
AFG,GRC,2013,400
AFG,GRC,2014,392
AFG,GRC,2015,564
AFG,GRC,2016,760
AFG,GTM,2011,1
AFG,GTM,2012,2
AFG,GTM,2013,4
AFG,GTM,2014,15
AFG,GTM,2015,13
AFG,GTM,2016,10
AFG,GUY,2011,1
AFG,GUY,2012,0
AFG,GUY,2013,3
AFG,GUY,2014,3
AFG,GUY,2015,1
AFG,GUY,2016,1
AFG,HKG,2011,204
AFG,HKG,2012,201
AFG,HKG,2013,251
AFG,HKG,2014,347
AFG,HKG,2015,336
AFG,HKG,2016,270
AFG,HND,2011,3
AFG,HND,2012,2
AFG,HND,2013,2
AFG,HND,2014,14
AFG,HND,2015,11
AFG,HND,2016,11
AFG,HRV,2011,122
AFG,HRV,2012,161
AFG,HRV,2013,169
AFG,HRV,2014,284
AFG,HRV,2015,402
AFG,HRV,2016,364
AFG,HTI,2011,3
AFG,HTI,2012,3
AFG,HTI,2013,2
AFG,HTI,2014,3
AFG,HTI,2015,23
AFG,HTI,2016,14
AFG,HUN,2011,213
AFG,HUN,2012,317
AFG,HUN,2013,355
AFG,HUN,2014,409
AFG,HUN,2015,358
AFG,HUN,2016,355
AFG,IDN,2011,515
AFG,IDN,2012,676
AFG,IDN,2013,690
AFG,IDN,2014,705
AFG,IDN,2015,652
AFG,IDN,2016,416
AFG,IND,2011,161998
AFG,IND,2012,183268
AFG,IND,2013,189955
AFG,IND,2014,188368
AFG,IND,2015,207071
AFG,IND,2016,215899
AFG,IRL,2011,166
AFG,IRL,2012,336
AFG,IRL,2013,500
AFG,IRL,2014,949
AFG,IRL,2015,2325
AFG,IRL,2016,886
AFG,IRN,2011,61875
AFG,IRN,2012,75043
AFG,IRN,2013,77382
AFG,IRN,2014,58769
AFG,IRN,2015,110857
AFG,IRN,2016,56753
AFG,IRQ,2011,2151
AFG,IRQ,2012,2876
AFG,IRQ,2013,2439
AFG,IRQ,2014,1489
AFG,IRQ,2015,1611
AFG,IRQ,2016,1814
AFG,ISL,2011,9
AFG,ISL,2012,10
AFG,ISL,2013,12
AFG,ISL,2014,6
AFG,ISL,2015,5
AFG,ISL,2016,14
AFG,ISR,2011,90
AFG,ISR,2012,98
AFG,ISR,2013,76
AFG,ISR,2014,64
AFG,ISR,2015,57
AFG,ISR,2016,60
AFG,ITA,2011,2000
AFG,ITA,2012,2852
AFG,ITA,2013,3418
AFG,ITA,2014,3666
AFG,ITA,2015,4383
AFG,ITA,2016,4566
AFG,JAM,2011,6
AFG,JAM,2012,6
AFG,JAM,2013,3
AFG,JAM,2014,1
AFG,JAM,2015,6
AFG,JAM,2016,14
AFG,JOR,2011,1342
AFG,JOR,2012,670
AFG,JOR,2013,830
AFG,JOR,2014,1080
AFG,JOR,2015,1539
AFG,JOR,2016,1009
AFG,JPN,2011,1295
AFG,JPN,2012,1434
AFG,JPN,2013,1652
AFG,JPN,2014,1971
AFG,JPN,2015,1958
AFG,JPN,2016,1711
AFG,KAZ,2011,391
AFG,KAZ,2012,935
AFG,KAZ,2013,614
AFG,KAZ,2014,601
AFG,KAZ,2015,626
AFG,KAZ,2016,1369
AFG,KEN,2011,406
AFG,KEN,2012,435
AFG,KEN,2013,631
AFG,KEN,2014,1052
AFG,KEN,2015,1318
AFG,KEN,2016,776
AFG,KGZ,2011,284
AFG,KGZ,2012,256
AFG,KGZ,2013,280
AFG,KGZ,2014,397
AFG,KGZ,2015,743
AFG,KGZ,2016,1495
AFG,KHM,2011,78
AFG,KHM,2012,102
AFG,KHM,2013,89
AFG,KHM,2014,108
AFG,KHM,2015,94
AFG,KHM,2016,91
AFG,KIR,2011,0
AFG,KIR,2012,0
AFG,KIR,2013,0
AFG,KIR,2014,0
AFG,KIR,2015,0
AFG,KIR,2016,0
AFG,KNA,2011,0
AFG,KNA,2012,3
AFG,KNA,2013,4
AFG,KNA,2014,0
AFG,KNA,2015,0
AFG,KNA,2016,0
AFG,KOR,2011,540
AFG,KOR,2012,405
AFG,KOR,2013,520
AFG,KOR,2014,717
AFG,KOR,2015,775
AFG,KOR,2016,688
AFG,KWT,2011,4975
AFG,KWT,2012,3232
AFG,KWT,2013,7395
AFG,KWT,2014,9457
AFG,KWT,2015,5435
AFG,KWT,2016,2020
AFG,LAO,2011,14
AFG,LAO,2012,21
AFG,LAO,2013,35
AFG,LAO,2014,29
AFG,LAO,2015,16
AFG,LAO,2016,15
AFG,LBN,2011,1110
AFG,LBN,2012,316
AFG,LBN,2013,551
AFG,LBN,2014,727
AFG,LBN,2015,1014
AFG,LBN,2016,1111
AFG,LBR,2011,9
AFG,LBR,2012,7
AFG,LBR,2013,8
AFG,LBR,2014,17
AFG,LBR,2015,24
AFG,LBR,2016,14
AFG,LBY,2011,9
AFG,LBY,2012,18
AFG,LBY,2013,17
AFG,LBY,2014,17
AFG,LBY,2015,0
AFG,LBY,2016,0
AFG,LCA,2011,0
AFG,LCA,2012,0
AFG,LCA,2013,0
AFG,LCA,2014,0
AFG,LCA,2015,1
AFG,LCA,2016,0
AFG,LKA,2011,541
AFG,LKA,2012,513
AFG,LKA,2013,1508
AFG,LKA,2014,2119
AFG,LKA,2015,3152
AFG,LKA,2016,2924
AFG,LSO,2011,0
AFG,LSO,2012,1
AFG,LSO,2013,0
AFG,LSO,2014,1
AFG,LSO,2015,1
AFG,LSO,2016,8
AFG,LTU,2011,96
AFG,LTU,2012,87
AFG,LTU,2013,132
AFG,LTU,2014,191
AFG,LTU,2015,175
AFG,LTU,2016,107
AFG,LUX,2011,104
AFG,LUX,2012,43
AFG,LUX,2013,24
AFG,LUX,2014,21
AFG,LUX,2015,92
AFG,LUX,2016,119
AFG,LVA,2011,60
AFG,LVA,2012,87
AFG,LVA,2013,116
AFG,LVA,2014,96
AFG,LVA,2015,63
AFG,LVA,2016,51
AFG,MAC,2011,2
AFG,MAC,2012,0
AFG,MAC,2013,1
AFG,MAC,2014,7
AFG,MAC,2015,10
AFG,MAC,2016,1
AFG,MAR,2011,33
AFG,MAR,2012,36
AFG,MAR,2013,82
AFG,MAR,2014,109
AFG,MAR,2015,131
AFG,MAR,2016,224
AFG,MDA,2011,23
AFG,MDA,2012,52
AFG,MDA,2013,41
AFG,MDA,2014,61
AFG,MDA,2015,96
AFG,MDA,2016,133
AFG,MDG,2011,3
AFG,MDG,2012,2
AFG,MDG,2013,6
AFG,MDG,2014,9
AFG,MDG,2015,14
AFG,MDG,2016,15
AFG,MDV,2011,168
AFG,MDV,2012,71
AFG,MDV,2013,175
AFG,MDV,2014,200
AFG,MDV,2015,184
AFG,MDV,2016,134
AFG,MEX,2011,35
AFG,MEX,2012,50
AFG,MEX,2013,46
AFG,MEX,2014,34
AFG,MEX,2015,31
AFG,MEX,2016,25
AFG,MHL,2011,0
AFG,MHL,2012,0
AFG,MHL,2013,1
AFG,MHL,2014,0
AFG,MHL,2015,0
AFG,MHL,2016,0
AFG,MKD,2011,100
AFG,MKD,2012,254
AFG,MKD,2013,415
AFG,MKD,2014,502
AFG,MKD,2015,377
AFG,MKD,2016,397
AFG,MLI,2011,2
AFG,MLI,2012,5
AFG,MLI,2013,17
AFG,MLI,2014,15
AFG,MLI,2015,13
AFG,MLI,2016,19
AFG,MLT,2011,16
AFG,MLT,2012,5
AFG,MLT,2013,8
AFG,MLT,2014,16
AFG,MLT,2015,26
AFG,MLT,2016,54
AFG,MMR,2011,5
AFG,MMR,2012,26
AFG,MMR,2013,24
AFG,MMR,2014,38
AFG,MMR,2015,65
AFG,MMR,2016,67
AFG,MNG,2011,27
AFG,MNG,2012,34
AFG,MNG,2013,26
AFG,MNG,2014,47
AFG,MNG,2015,64
AFG,MNG,2016,40
AFG,MOZ,2011,7
AFG,MOZ,2012,14
AFG,MOZ,2013,23
AFG,MOZ,2014,22
AFG,MOZ,2015,23
AFG,MOZ,2016,24
AFG,MRT,2011,2
AFG,MRT,2012,0
AFG,MRT,2013,2
AFG,MRT,2014,12
AFG,MRT,2015,47
AFG,MRT,2016,50
AFG,MUS,2011,20
AFG,MUS,2012,9
AFG,MUS,2013,14
AFG,MUS,2014,29
AFG,MUS,2015,21
AFG,MUS,2016,25
AFG,MWI,2011,4
AFG,MWI,2012,8
AFG,MWI,2013,5
AFG,MWI,2014,8
AFG,MWI,2015,12
AFG,MWI,2016,7
AFG,MYS,2011,391
AFG,MYS,2012,507
AFG,MYS,2013,480
AFG,MYS,2014,508
AFG,MYS,2015,568
AFG,MYS,2016,443
AFG,NAM,2011,24
AFG,NAM,2012,14
AFG,NAM,2013,36
AFG,NAM,2014,20
AFG,NAM,2015,10
AFG,NAM,2016,10
AFG,NER,2011,0
AFG,NER,2012,2
AFG,NER,2013,1
AFG,NER,2014,0
AFG,NER,2015,1
AFG,NER,2016,2
AFG,NGA,2011,32
AFG,NGA,2012,30
AFG,NGA,2013,20
AFG,NGA,2014,50
AFG,NGA,2015,57
AFG,NGA,2016,48
AFG,NIC,2011,4
AFG,NIC,2012,3
AFG,NIC,2013,5
AFG,NIC,2014,9
AFG,NIC,2015,4
AFG,NIC,2016,3
AFG,NIU,2011,0
AFG,NIU,2012,0
AFG,NIU,2013,0
AFG,NIU,2014,0
AFG,NIU,2015,0
AFG,NIU,2016,0
AFG,NLD,2011,2512
AFG,NLD,2012,6685
AFG,NLD,2013,6738
AFG,NLD,2014,6971
AFG,NLD,2015,7812
AFG,NLD,2016,7057
AFG,NOR,2011,1104
AFG,NOR,2012,2476
AFG,NOR,2013,2908
AFG,NOR,2014,3323
AFG,NOR,2015,3857
AFG,NOR,2016,4707
AFG,NPL,2011,1473
AFG,NPL,2012,1209
AFG,NPL,2013,1381
AFG,NPL,2014,1590
AFG,NPL,2015,1084
AFG,NPL,2016,931
AFG,NRU,2011,0
AFG,NRU,2012,0
AFG,NRU,2013,0
AFG,NRU,2014,0
AFG,NRU,2015,0
AFG,NRU,2016,0
AFG,NZL,2011,285
AFG,NZL,2012,486
AFG,NZL,2013,511
AFG,NZL,2014,766
AFG,NZL,2015,698
AFG,NZL,2016,701
AFG,OMN,2011,1538
AFG,OMN,2012,320
AFG,OMN,2013,2190
AFG,OMN,2014,1346
AFG,OMN,2015,1955
AFG,OMN,2016,1249
AFG,PAK,2011,30619
AFG,PAK,2012,27411
AFG,PAK,2013,47704
AFG,PAK,2014,27248
AFG,PAK,2015,20024
AFG,PAK,2016,35248
AFG,PAN,2011,6
AFG,PAN,2012,13
AFG,PAN,2013,20
AFG,PAN,2014,15
AFG,PAN,2015,14
AFG,PAN,2016,30
AFG,PER,2011,16
AFG,PER,2012,24
AFG,PER,2013,39
AFG,PER,2014,141
AFG,PER,2015,71
AFG,PER,2016,27
AFG,PHL,2011,736
AFG,PHL,2012,1105
AFG,PHL,2013,1204
AFG,PHL,2014,1323
AFG,PHL,2015,1327
AFG,PHL,2016,992
AFG,PLW,2011,1
AFG,PLW,2012,0
AFG,PLW,2013,0
AFG,PLW,2014,0
AFG,PLW,2015,0
AFG,PLW,2016,0
AFG,PNG,2011,1
AFG,PNG,2012,3
AFG,PNG,2013,8
AFG,PNG,2014,3
AFG,PNG,2015,5
AFG,PNG,2016,15
AFG,POL,2011,270
AFG,POL,2012,534
AFG,POL,2013,532
AFG,POL,2014,511
AFG,POL,2015,337
AFG,POL,2016,426
AFG,PRK,2011,0
AFG,PRK,2012,0
AFG,PRK,2013,0
AFG,PRK,2014,1
AFG,PRK,2015,0
AFG,PRK,2016,0
AFG,PRT,2011,199
AFG,PRT,2012,221
AFG,PRT,2013,223
AFG,PRT,2014,300
AFG,PRT,2015,172
AFG,PRT,2016,130
AFG,PRY,2011,0
AFG,PRY,2012,0
AFG,PRY,2013,9
AFG,PRY,2014,6
AFG,PRY,2015,4
AFG,PRY,2016,12
AFG,PSE,2011,0
AFG,PSE,2012,0
AFG,PSE,2013,0
AFG,PSE,2014,0
AFG,PSE,2015,0
AFG,PSE,2016,0
AFG,QAT,2011,2442
AFG,QAT,2012,1669
AFG,QAT,2013,1430
AFG,QAT,2014,2175
AFG,QAT,2015,2370
AFG,QAT,2016,1430
AFG,ROU,2011,187
AFG,ROU,2012,400
AFG,ROU,2013,644
AFG,ROU,2014,596
AFG,ROU,2015,633
AFG,ROU,2016,560
AFG,RUS,2011,7963
AFG,RUS,2012,16002
AFG,RUS,2013,16778
AFG,RUS,2014,7428
AFG,RUS,2015,3974
AFG,RUS,2016,7792
AFG,RWA,2011,16
AFG,RWA,2012,17
AFG,RWA,2013,11
AFG,RWA,2014,49
AFG,RWA,2015,78
AFG,RWA,2016,16
AFG,SAU,2011,10897
AFG,SAU,2012,11358
AFG,SAU,2013,14697
AFG,SAU,2014,23054
AFG,SAU,2015,28603
AFG,SAU,2016,29745
AFG,SDN,2011,1452
AFG,SDN,2012,985
AFG,SDN,2013,664
AFG,SDN,2014,768
AFG,SDN,2015,1021
AFG,SDN,2016,708
AFG,SEN,2011,35
AFG,SEN,2012,19
AFG,SEN,2013,30
AFG,SEN,2014,36
AFG,SEN,2015,45
AFG,SEN,2016,46
AFG,SGP,2011,302
AFG,SGP,2012,274
AFG,SGP,2013,249
AFG,SGP,2014,378
AFG,SGP,2015,395
AFG,SGP,2016,286
AFG,SLB,2011,7
AFG,SLB,2012,1
AFG,SLB,2013,0
AFG,SLB,2014,1
AFG,SLB,2015,0
AFG,SLB,2016,0
AFG,SLE,2011,6
AFG,SLE,2012,6
AFG,SLE,2013,6
AFG,SLE,2014,11
AFG,SLE,2015,18
AFG,SLE,2016,21
AFG,SLV,2011,100
AFG,SLV,2012,235
AFG,SLV,2013,257
